name,form,url,artists,status
Cubone,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/104Cubone.png,Arch|Scepticallistic,done
Marowak,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/105Marowak.png,Arch|Scepticallistic,done
Hitmonlee,,,,
Hitmonchan,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/107Hitmonchan.png,Sleet|Scepticallistic,done
Lickitung,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/108Lickitung.png,MrBlack,done
Koffing,,,,
Weezing,,,,
Rhyhorn,,,,
Rhydon,,,,
Chansey,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/113Chansey.png,Solackno|Scepticallistic,done
Tangela,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/114Tangela.png,Sleet,done
Kangaskhan,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/115Kangaskhan.png,Ghost.,done
Horsea,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/116Horsea.png,DjGopher,done
Seadra,,,,
Goldeen,,,,
Seaking,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/119Seaking.png,Alchemator,done
Staryu,,,,
Starmie,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/121Starmie.png,Alchemator,done
Mr. Mime,,,,
Scyther,,,,
Jynx,,http://img208.imageshack.us/img208/1193/124jynxp.png,Sleet|Scepticallistic,limbo
Electabuzz,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/125Electabuzz.png,Nopie,done
Magmar,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/126Magmar.png,Blackhawk11|Scepticallistic,done
Pinsir,,,Mektar,reserved
Tauros,,,,
Magikarp,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/129Magikarp.png,Scepticallistic,done
Gyarados,,,,
Lapras,,,,
Ditto,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/132Ditto.png,Blackhawk11|Scepticallistic,done
Eevee,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/133Eevee.png,Jennie,done
Vaporeon,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/134Vaporeon.png,Tayla|Scepticallistic,done
Jolteon,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/135Jolteon.png,Scepticallistic|aXl,done
Flareon,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/136Flareon.png,Sleet,done
Porygon,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/137Porygon.png,DjGopher,done
Omanyte,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/138Omanyte.png,Sleet,done
Omastar,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/139Omastar.png,Sleet,done
Kabuto,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/140Kabuto.png,Arch,done
Kabutops,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/141Kabutops.png,Arch|aXl,done
Aerodactyl,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/142Aerodactyl.png,Scepticallistic|MrBlack,done
Snorlax,,,DjGopher,reserved
Articuno,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/144Articuno.png,Tayla|Wizwum,done
Zapdos,,,,
Moltres,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/146Moltres.png,MrBlack,done
Dratini,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/147Dratini.png,Raikou151|Wizwum,done
Dragonair,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/148Dragonair.png,Raikou151,done
Dragonite,,,,
Mewtwo,,,,
Mew,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/151Mew.png,dawnblairr|Scepticallistic,done
Chikorita,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/152Chikorita.png,Wizwum,done
Bayleef,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/153Bayleef.png,Wizwum,done
Meganium,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/154Meganium.png,Wizwum,done
Cyndaquil,,,,
Quilava,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/156Quilava.png,Arch|Scepticallistic,done
Typhlosion,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/157Typhlosion.png,Arch|Scepticallistic,done
Totodile,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/158Totodile.png,Arch,done
Croconaw,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/159Croconaw.png,Arch|Alchemator,done
Feraligatr,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/160Feraligatr.png,Arch,done
Sentret,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/161Sentret.png,Sleet,done
Furret,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/162Furret.png,Arch,done
Hoothoot,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/163Hoothoot.png,noobiess,done
Noctowl,,,,
Ledyba,,,,
Ledian,,,,
Spinarak,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/167Spinarak.png,Danilyu,done
Ariados,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/168Ariados.png,Scepticallistic,done
Crobat,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/169Crobat.png,Scepticallistic,done
Chinchou,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/170Chinchou.png,Sleet,done
Lanturn,,http://img229.imageshack.us/img229/2985/transparentlanturn.gif,Blackhawk11,limbo
Pichu,,http://img713.imageshack.us/img713/7434/172pichua.png,Arch|Wichu,limbo
Cleffa,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/173Cleffa.png,Wizwum,done
Igglybuff,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/174Igglybuff.png,Nopie|DarthVader317,done
Togepi,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/175Togepi.png,noobiess,done
Togetic,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/176Togetic.png,Sleet,done
Natu,,,,
Xatu,,,,
Mareep,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/179Mareep.png,thebattleax|Nopie,done
Flaaffy,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/180Flaaffy.png,Jennie,done
Ampharos,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/181Ampharos.png,thebattleax|Scepticallistic,done
Bellossom,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/182Bellossom.png,Sleet,done
Marill,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/183Marill.png,Blackhawk11|Scepticallistic,done
Azumarill,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/184Azumarill.png,Scepticallistic,done
Sudowoodo,,,Mektar|Scepticallistic|DjGopher,reserved
Politoed,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/186Politoed.png,Sleet,done
Hoppip,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/187Hoppip.png,Scepticallistic,done
Skiploom,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/188Skiploom.png,Scepticallistic,done
Jumpluff,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/189Jumpluff.png,Scepticallistic,done
Aipom,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/190Aipom.png,Sleet,done
Sunkern,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/191Sunkern.png,Sleet,done
Sunflora,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/192Sunflora.png,Sleet,done
Yanma,,,,
Wooper,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/194Wooper.png,Sleet|Scepticallistic,done
Quagsire,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/195Quagsire.png,Scepticallistic|Wizwum,done
Espeon,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/196Espeon.png,Arch|Scepticallistic,done
Umbreon,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/197Umbreon.png,Thebattleax|Scepticallistic,done
Murkrow,,,,
Slowking,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/199Slowking.png,DjGopher|Scepticallistic,done
Misdreavus,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/200Misdreavus.png,Scepticallistic,done
Unown,A,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownA.png,Blackhawk11,done
Unown,B,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownB.png,Blackhawk11,done
Unown,C,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownC.png,Blackhawk11,done
Unown,D,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownD.png,Blackhawk11,done
Unown,E,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownE.png,Blackhawk11,done
Unown,F,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownF.png,Blackhawk11,done
Unown,G,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownG.png,Blackhawk11,done
Unown,H,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownH.png,Blackhawk11,done
Unown,I,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownI.png,Blackhawk11,done
Unown,J,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownJ.png,Blackhawk11,done
Unown,K,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownK.png,Blackhawk11,done
Unown,L,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownL.png,Blackhawk11,done
Unown,M,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownM.png,Blackhawk11,done
Unown,N,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownN.png,Blackhawk11,done
Unown,O,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownO.png,Blackhawk11,done
Unown,P,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownP.png,Blackhawk11,done
Unown,Q,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownQ.png,Blackhawk11,done
Unown,R,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownR.png,Blackhawk11,done
Unown,S,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownS.png,Blackhawk11,done
Unown,T,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownT.png,Blackhawk11,done
Unown,U,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownU.png,Blackhawk11,done
Unown,V,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownV.png,Blackhawk11,done
Unown,W,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownW.png,Blackhawk11,done
Unown,X,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownX.png,Blackhawk11,done
Unown,Y,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownY.png,Blackhawk11,done
Unown,Z,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownZ.png,Blackhawk11,done
Unown,!,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownzEXCLAMATION.png,Blackhawk11,done
Unown,?,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/201UnownzQUESTION.png,Blackhawk11,done
Wobbuffet,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/202Wobbuffet.png,Scepticallistic|Nopie,done
Girafarig,,,,
Pineco,,,,
Forretress,,,,
Dunsparce,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/206Dunsparce.png,Scepticallistic,done
Gligar,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/207Gligar.png,Wichu,done
Steelix,,,,
Snubbull,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/209Snubbull.png,Nopie,done
Granbull,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/210Granbull.png,Nopie,done
Qwilfish,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/211Qwilfish.png,noobiess|DjGopher,done
Scizor,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/212Scizor.png,Scepticallistic,done
Shuckle,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/213Shuckle.png,Blackhawk11,done
Heracross,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/214Heracross.png,MrBlack|TVBoyCanti,done
Sneasel,,,Jennie,reserved
